Date,DayOfTheWeek,FlightNo,Airline,Airline IATA Code,Airline ICAO Code,DestinationCity,DestinationAirportIATACode,DestinationAirportICAOCode,FlightType,Scheduled Departure Local Time,Scheduled Departure UTC,Actual Departure,Delay Duration Local(minutes),Delay Status,
2022-01-01,Saturday,901,NovoAir,VQ,NVQ,Chittagong,CGP,VGEG,Domestic,01 Jan 7:30,01 Jan 1:30,01 Jan 7:57,27,1,
2022-01-01,Saturday,611,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,01 Jan 7:45,01 Jan 1:45,01 Jan 8:31,46,1,
2022-01-01,Saturday,493,Biman Bangladesh Airlines,BG,BBC,Saidpur,SPD,VGSD,Domestic,01 Jan 7:45,01 Jan 1:45,01 Jan 12:04,259,1,
2022-01-01,Saturday,4091,Biman Bangladesh Airlines,BG,BBC,Kolkata,CCU,VECC,International,01 Jan 8:05,01 Jan 2:05,01 Jan 8:22,17,0,
2022-01-01,Saturday,307,US-Bangla Airlines,BS,UBG,Singapore,SIN,WSSS,International,01 Jan 8:15,01 Jan 2:15,01 Jan 8:27,12,0,
2022-01-01,Saturday,84,Biman Bangladesh Airlines,BG,BBC,Singapore,SIN,WSSS,International,01 Jan 8:25,01 Jan 2:25,01 Jan 11:27,187,1,
2022-01-01,Saturday,249,Gulf Air,GF,GFA,Bahrain,BAH,OBBI,International,01 Jan 9:15,01 Jan 3:15,01 Jan 9:20,5,0,
2022-01-01,Saturday,461,Biman Bangladesh Airlines,BG,BBC,Jessore,JSR,VGJR,Domestic,01 Jan 9:15,01 Jan 3:15,01 Jan 9:24,9,0,
2022-01-01,Saturday,532,Jazeera Airways,J9,JZR,Kuwait City,KWI,OKBK,International,01 Jan 9:20,01 Jan 3:20,01 Jan 10:42,82,1,
2022-01-01,Saturday,471,Biman Bangladesh Airlines,BG,BBC,Barisal,BZL,VGBR,Domestic,01 Jan 9:30,01 Jan 3:30,01 Jan 9:32,2,0,
2022-01-01,Saturday,517,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,01 Jan 9:40,01 Jan 3:40,01 Jan 9:53,13,0,
2022-01-01,Saturday,282,Kuwait Airways,KU,KAC,Kuwait City,KWI,OKBK,International,01 Jan 9:45,01 Jan 3:45,01 Jan 10:29,44,1,
2022-01-01,Saturday,315,US-Bangla Airlines,BS,UBG,Kuala Lumpur,KUL,WMKK,International,01 Jan 9:50,01 Jan 3:50,01 Jan 10:04,14,0,
2022-01-01,Saturday,182,Vistara,UK,VTI,Delhi,DEL,VIDP,International,01 Jan 10:30,01 Jan 4:30,01 Jan 10:14,0,0,
2022-01-01,Saturday,641,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,01 Jan 10:45,01 Jan 4:45,01 Jan 11:42,57,1,
2022-01-01,Saturday,200,SriLankan Airlines,UL,ALK,Colombo,CMB,VCBI,International,01 Jan 10:45,01 Jan 4:45,01 Jan 11:50,65,1,
2022-01-01,Saturday,601,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,01 Jan 11:00,01 Jan 5:00,01 Jan 12:33,93,1,
2022-01-01,Saturday,433,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,01 Jan 11:30,01 Jan 5:30,01 Jan 12:04,34,1,
2022-01-01,Saturday,4097,Biman Bangladesh Airlines,BG,BBC,Delhi,DEL,VIDP,International,01 Jan 12:00,01 Jan 6:00,01 Jan 12:49,49,1,
2022-01-01,Saturday,583,Emirates,EK,UAE,Dubai,DXB,OMDB,International,01 Jan 12:10,01 Jan 6:10,01 Jan 13:16,66,1,
2022-01-01,Saturday,809,Saudi Arabian Airlines,SV,SVA,Jeddah,JED,OEJN,International,01 Jan 12:35,01 Jan 6:35,01 Jan 12:35,0,0,
2022-01-01,Saturday,535,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,01 Jan 12:45,01 Jan 6:45,01 Jan 13:05,20,0,
2022-01-01,Saturday,316,Oman Air,WY,OMA,Muscat,MCT,OOMS,International,01 Jan 12:45,01 Jan 6:45,01 Jan 13:01,16,0,
2022-01-01,Saturday,398,SalamAir,OV,OMS,Muscat,MCT,OOMS,International,01 Jan 12:50,01 Jan 6:50,01 Jan 13:19,29,1,
2022-01-01,Saturday,437,Biman Bangladesh Airlines,BG,BBC,Cox's Bazar,CXB,VGCB,Domestic,01 Jan 14:45,01 Jan 8:45,01 Jan 15:06,21,1,
2022-01-01,Saturday,8298,IndiGo,6E,IGO,Chennai,MAA,VOMM,International,01 Jan 14:45,01 Jan 8:45,01 Jan 15:55,70,1,
2022-01-01,Saturday,615,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,01 Jan 15:45,01 Jan 9:45,01 Jan 16:05,20,0,
2022-01-01,Saturday,603,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,01 Jan 16:15,01 Jan 10:15,01 Jan 16:34,19,0,
2022-01-01,Saturday,495,Biman Bangladesh Airlines,BG,BBC,Saidpur,SPD,VGSD,Domestic,01 Jan 16:30,01 Jan 10:30,01 Jan 18:57,117,1,
2022-01-01,Saturday,584,flydubai,FZ,FDB,Dubai,DXB,OMDB,International,01 Jan 16:35,01 Jan 10:35,01 Jan 19:08,153,1,
2022-01-01,Saturday,1859,IndiGo,6E,IGO,Kolkata,CCU,VECC,International,01 Jan 16:35,01 Jan 10:35,01 Jan 18:49,134,1,
2022-01-01,Saturday,8251,IndiGo,6E,IGO,Kolkata,CCU,VECC,International,01 Jan 16:35,01 Jan 10:35,01 Jan 17:01,26,1,
2022-01-01,Saturday,519,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,01 Jan 16:55,01 Jan 10:55,01 Jan 18:31,96,1,
2022-01-01,Saturday,915,NovoAir,VQ,NVQ,Chittagong,CGP,VGEG,Domestic,01 Jan 17:00,01 Jan 11:00,01 Jan 17:04,4,0,
2022-01-01,Saturday,4037,Biman Bangladesh Airlines,BG,BBC,Medina,MED,OEMA,International,01 Jan 17:10,01 Jan 11:10,01 Jan 17:42,32,1,
2022-01-01,Saturday,3240,Cathay Pacific,CX,CPA,Hong Kong,HKG,VHHH,International,01 Jan 17:15,01 Jan 11:15,01 Jan 16:44,0,0,
2022-01-01,Saturday,467,Biman Bangladesh Airlines,BG,BBC,Jessore,JSR,VGJR,Domestic,01 Jan 17:30,01 Jan 11:30,01 Jan 17:44,14,0,
2022-01-01,Saturday,587,Emirates,EK,UAE,Dubai,DXB,OMDB,International,01 Jan 18:40,01 Jan 12:40,01 Jan 19:11,31,1,
2022-01-01,Saturday,4035,Biman Bangladesh Airlines,BG,BBC,Jeddah,JED,OEJN,International,01 Jan 18:50,01 Jan 12:50,01 Jan 20:06,76,1,
2022-01-01,Saturday,639,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,01 Jan 18:50,01 Jan 12:50,01 Jan 19:37,47,1,
2022-01-01,Saturday,617,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,01 Jan 19:10,01 Jan 13:10,01 Jan 19:41,31,1,
2022-01-01,Saturday,635,Qatar Airways,QR,QTR,Doha,DOH,OTHH,International,01 Jan 19:35,01 Jan 13:35,01 Jan 20:29,54,1,
2022-01-01,Saturday,121,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,01 Jan 19:45,01 Jan 13:45,01 Jan 20:11,26,1,
2022-01-01,Saturday,4049,Biman Bangladesh Airlines,BG,BBC,Dammam,DMM,OEDF,International,01 Jan 19:55,01 Jan 13:55,01 Jan 20:39,44,1,
2022-01-01,Saturday,47,Biman Bangladesh Airlines,BG,BBC,Dubai,DXB,OMDB,International,01 Jan 20:00,01 Jan 14:00,01 Jan 23:13,193,1,
2022-01-01,Saturday,605,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,01 Jan 20:30,01 Jan 14:30,01 Jan 20:47,17,0,
2022-01-01,Saturday,341,US-Bangla Airlines,BS,UBG,Dubai,DXB,OMDB,International,01 Jan 21:25,01 Jan 15:25,01 Jan 23:15,110,1,
2022-01-01,Saturday,321,US-Bangla Airlines,BS,UBG,Muscat,MCT,OOMS,International,01 Jan 21:45,01 Jan 15:45,01 Jan 22:03,18,0,
2022-01-01,Saturday,25,Biman Bangladesh Airlines,BG,BBC,Doha,DOH,OTHH,International,01 Jan 21:45,01 Jan 15:45,01 Jan 21:59,14,0,
2022-01-01,Saturday,511,Air Arabia,G9,ABY,Sharjah,SHJ,OMSJ,International,01 Jan 21:50,01 Jan 15:50,01 Jan 23:38,108,1,
2022-01-01,Saturday,803,Saudi Arabian Airlines,SV,SVA,Jeddah,JED,OEJN,International,01 Jan 21:50,01 Jan 15:50,01 Jan 22:05,15,0,
2022-01-01,Saturday,325,US-Bangla Airlines,BS,UBG,Guangzhou,CAN,ZGGG,International,01 Jan 22:10,01 Jan 16:10,01 Jan 22:35,25,1,
2022-01-01,Saturday,585,Emirates,EK,UAE,Dubai,DXB,OMDB,International,01 Jan 22:40,01 Jan 16:40,01 Jan 23:52,72,1,
2022-01-01,Saturday,447,Singapore Airlines,SQ,SIA,Singapore,SIN,WSSS,International,01 Jan 22:40,01 Jan 16:40,01 Jan 23:12,32,1,
2022-01-01,Saturday,70,AirAsia,AK,AXM,Kuala Lumpur,KUL,WMKK,International,01 Jan 22:55,01 Jan 16:55,01 Jan 23:44,49,1,
2022-01-01,Saturday,197,Malaysia Airlines,MH,MAS,Kuala Lumpur,KUL,WMKK,International,01 Jan 22:55,01 Jan 16:55,01 Jan 23:34,39,1,
2022-01-01,Saturday,805,Saudi Arabian Airlines,SV,SVA,Riyadh,RUH,OERK,International,01 Jan 23:00,01 Jan 17:00,01 Jan 23:13,13,0,
2022-01-01,Saturday,161,Malindo Air,OD,MXD,Kuala Lumpur,KUL,WMKK,International,01 Jan 23:00,01 Jan 17:00,01 Jan 22:25,0,0,
2022-01-01,Saturday,4039,Biman Bangladesh Airlines,BG,BBC,Sylhet,ZYL,VGSY,Domestic,01 Jan 23:30,01 Jan 17:30,01 Jan 23:48,18,0,
2022-01-02,Sunday,611,Biman Bangladesh Airlines,BG,BBC,Chittagong,CGP,VGEG,Domestic,02 Jan 8:00,02 Jan 2:00,02 Jan 8:26,26,1,
2022-01-02,Sunday,461,Biman Bangladesh Airlines,BG,BBC,Jessore,JSR,VGJR,Domestic,02 Jan 9:15,02 Jan 3:15,02 Jan 9:38,23,1,
2022-01-02,Sunday,532,Jazeera Airways,J9,JZR,Kuwait City,KWI,OKBK,International,02 Jan 9:20,02 Jan 3:20,02 Jan 9:52,32,1,
2022-01-02,Sunday,471,Biman Bangladesh Airlines,BG,BBC,Barisal,BZL,VGBR,Domestic,02 Jan 9:30,02 Jan 3:30,02 Jan 10:46,76,1,
2022-01-02,Sunday,337,US-Bangla Airlines,BS,UBG,Male,MLE,VRMM,International,02 Jan 9:30,02 Jan 3:30,02 Jan 9:29,0,0,
