Airline,Origin,Destination,Distance,DepTime,ArrDelay,Delayed
NK,ATL,LAX,2360,922,162,1
WN,ORD,LAX,2389,1360,174,1
B6,JFK,LAX,2743,1373,169,1
NK,ATL,JFK,2397,978,-20,0
DL,LAS,DEN,471,576,172,1
B6,JFK,ATL,2205,1495,145,1
B6,SFO,ORD,2468,2345,169,1
NK,ORD,JFK,1329,877,83,1
UA,CLT,SFO,1678,1884,150,1
DL,DEN,LAS,1117,340,63,1
NK,JFK,ATL,1414,613,90,1
DL,DFW,JFK,1494,733,24,1
DL,CLT,ORD,1987,1938,61,1
B6,ORD,LAS,2590,767,149,1
WN,ATL,JFK,1829,280,68,1
DL,SFO,JFK,2080,1636,21,1
AS,DEN,DFW,220,994,68,1
B6,SFO,DFW,2530,727,111,1
UA,LAS,CLT,730,1581,86,1
WN,LAS,JFK,737,1522,95,1
AS,LAX,CLT,2500,1819,112,1
AS,ORD,LAX,453,1802,5,0
UA,ATL,JFK,1025,570,17,1
WN,DEN,CLT,2728,832,81,1
B6,DFW,LAX,1070,2265,2,0
AA,DEN,DFW,2400,590,45,1
WN,CLT,DEN,1812,83,-20,0
UA,LAX,ORD,533,2046,58,1
AS,DEN,LAS,2961,955,66,1
B6,LAS,LAS,702,1197,54,1
WN,DFW,CLT,799,21,1,0
AA,JFK,SFO,2866,1439,64,1
AA,CLT,DFW,1081,808,115,1
DL,ATL,LAX,1707,1204,126,1
DL,CLT,ORD,297,2330,28,1
NK,ATL,DFW,2901,170,-20,0
UA,CLT,CLT,592,2058,-19,0
WN,LAS,JFK,833,1929,31,1
WN,DFW,JFK,825,1458,71,1
NK,DFW,SFO,403,877,-9,0
AS,LAX,JFK,1448,1716,126,1
AS,LAS,ORD,921,720,122,1
NK,ATL,CLT,2367,18,-3,0
AS,ORD,LAS,2221,2099,18,1
DL,LAX,DFW,2345,1596,87,1
WN,ORD,DEN,1494,830,70,1
NK,ATL,CLT,2799,1214,74,1
WN,LAS,ORD,392,707,31,1
AA,DEN,JFK,892,1461,77,1
DL,DFW,LAS,2662,1497,160,1
B6,LAS,LAX,465,245,121,1
DL,CLT,LAS,2153,737,165,1
NK,DEN,LAX,1975,234,69,1
B6,ORD,CLT,492,2134,38,1
AA,SFO,ORD,2385,2119,-9,0
NK,DEN,LAS,477,895,82,1
UA,CLT,ATL,1133,1057,117,1
WN,DEN,CLT,2552,1824,128,1
AA,ATL,ATL,1832,1978,119,1
WN,SFO,ORD,657,123,-6,0
AS,SFO,JFK,2598,978,109,1
UA,CLT,ATL,2204,614,133,1
UA,LAX,LAX,821,1088,14,0
AA,DEN,LAS,809,1960,175,1
UA,ORD,LAX,1056,2343,19,1
B6,CLT,CLT,2821,2046,94,1
UA,ATL,SFO,2384,1385,30,1
WN,ATL,DEN,2051,2137,119,1
WN,LAX,ATL,921,913,54,1
NK,DEN,ORD,485,720,69,1
WN,DEN,DFW,988,427,81,1
NK,JFK,LAX,740,269,140,1
WN,CLT,LAX,1903,1050,-8,0
B6,ORD,CLT,2756,332,149,1
NK,JFK,ORD,1368,1911,141,1
DL,JFK,SFO,2443,118,169,1
AS,JFK,DEN,808,2084,149,1
AA,DFW,CLT,263,1581,124,1
WN,DFW,ORD,1102,645,2,0
UA,JFK,JFK,617,210,85,1
WN,DFW,DEN,1887,1941,7,0
UA,SFO,DEN,2382,1572,28,1
AS,DFW,CLT,1487,1677,143,1
AS,LAS,ORD,1071,1797,-13,0
AS,ATL,LAS,2100,1495,131,1
UA,LAS,DEN,1208,2337,176,1
WN,CLT,JFK,2466,2259,16,1
AS,JFK,ORD,2379,2270,140,1
B6,ATL,ATL,393,1905,-1,0
NK,SFO,ORD,1617,1087,35,1
UA,JFK,DEN,656,1066,-14,0
UA,CLT,SFO,2191,1344,49,1
WN,LAX,LAX,2100,278,103,1
UA,CLT,DEN,2437,150,-5,0
UA,ATL,ATL,488,2197,176,1
AS,CLT,JFK,1393,1988,169,1
WN,JFK,LAX,1986,607,43,1
AS,DFW,DFW,711,716,172,1
NK,LAS,LAS,2481,80,-16,0
NK,SFO,DFW,530,144,93,1
AS,ORD,CLT,2381,1720,59,1
NK,ATL,LAX,2871,319,-4,0
WN,SFO,DFW,2755,387,161,1
AA,DEN,JFK,888,1055,-5,0
AS,ATL,LAX,2831,560,-8,0
B6,ORD,ORD,1596,1522,162,1
B6,LAX,CLT,1090,1056,58,1
UA,LAS,ORD,2042,582,80,1
NK,ORD,ATL,2500,1044,6,0
B6,SFO,ATL,981,1785,81,1
UA,JFK,LAS,271,2268,121,1
AA,CLT,ATL,360,1683,86,1
WN,JFK,LAS,1985,1934,153,1
WN,LAX,CLT,1225,2057,79,1
WN,JFK,ATL,1689,455,6,0
B6,ATL,ORD,926,1789,65,1
AA,LAX,LAX,1724,1748,-20,0
B6,JFK,CLT,2427,1516,155,1
NK,JFK,CLT,1587,2101,120,1
B6,LAX,JFK,2676,1357,173,1
AA,DEN,SFO,2391,499,1,0
AA,LAX,CLT,1210,1916,32,1
NK,LAX,SFO,2590,1522,174,1
AA,CLT,ORD,2656,1912,84,1
AA,DFW,ATL,2988,604,87,1
WN,CLT,DFW,512,1549,48,1
NK,CLT,JFK,2413,1041,-12,0
DL,LAX,ORD,327,743,30,1
DL,SFO,DEN,2475,60,112,1
AA,LAS,ORD,2313,623,178,1
DL,CLT,DFW,2240,1711,2,0
DL,LAS,ATL,2635,1350,105,1
AA,CLT,LAX,673,1993,109,1
DL,ATL,ATL,1298,2303,99,1
B6,SFO,ATL,2491,917,84,1
UA,LAS,ORD,2072,424,46,1
NK,LAS,CLT,2759,246,24,1
UA,ATL,DEN,1494,42,42,1
AA,SFO,JFK,915,2166,77,1
WN,DEN,LAS,391,461,63,1
